      Date ,Oil Test Volume bbl ,Water Test Volume bbl ,    TEST.GOR cf/bbl ,Gas Test Volume M ,Choke Size CHOKE  , BLPD bbl 
18/05/1997,441.00,1563.00,644.00,284.00,0.00,2003.00
19/05/1997,1148.00,1499.00,1048.00,1203.00,56.00,2647.00
20/05/1997,894.00,1092.00,177.00,158.00,0.00,1986.00
21/05/1997,0.00,0.00,0.00,0.00,0.00,0.00
22/05/1997,0.00,0.00,0.00,0.00,0.00,0.00
23/05/1997,0.00,0.00,0.00,0.00,0.00,0.00
24/05/1997,0.00,0.00,0.00,0.00,0.00,0.00
25/05/1997,0.00,0.00,0.00,0.00,0.00,0.00
26/05/1997,1165.00,1560.00,982.00,1144.00,56.00,2725.00
27/05/1997,440.00,1559.00,521.00,229.00,0.00,1999.00
28/05/1997,882.00,1078.00,81.00,71.00,64.00,1960.00
29/05/1997,1564.00,1863.00,963.00,1506.00,64.00,3427.00
30/05/1997,0.00,0.00,0.00,0.00,0.00,0.00
31/05/1997,919.00,1079.00,177.00,163.00,64.00,1998.00
02/06/1997,602.00,3748.00,472.00,284.00,64.00,4350.00
03/06/1997,0.00,0.00,0.00,0.00,0.00,0.00
04/06/1997,0.00,0.00,0.00,0.00,0.00,0.00
05/06/1997,420.00,1682.00,459.00,193.00,0.00,2102.00
06/06/1997,328.00,1603.00,76.00,25.00,0.00,1931.00
07/06/1997,578.00,3732.00,853.00,493.00,64.00,4310.00
08/06/1997,0.00,0.00,0.00,0.00,0.00,0.00
09/06/1997,0.00,0.00,0.00,0.00,0.00,0.00
10/06/1997,521.00,3694.00,1669.00,870.00,64.00,4216.00
11/06/1997,1063.00,1819.00,950.00,1010.00,0.00,2882.00
12/06/1997,2363.00,1171.00,882.00,2085.00,56.00,3533.00
13/06/1997,239.00,1750.00,1789.00,427.00,52.00,1989.00
14/06/1997,311.00,1909.00,1734.00,539.00,0.00,2220.00
17/06/1997,346.00,1576.00,1000.00,346.00,0.00,1922.00
19/06/1997,0.00,0.00,0.00,0.00,0.00,0.00
20/06/1997,376.00,1190.00,72.00,27.00,0.00,1566.00
21/06/1997,0.00,0.00,0.00,0.00,0.00,0.00
22/06/1997,0.00,0.00,0.00,0.00,0.00,0.00
23/06/1997,0.00,0.00,0.00,0.00,0.00,0.00
24/06/1997,398.00,1591.00,809.00,322.00,0.00,1989.00
25/06/1997,401.00,1606.00,725.00,291.00,0.00,2007.00
26/06/1997,396.00,1583.00,672.00,266.00,0.00,1979.00
27/06/1997,1164.00,2774.00,1501.00,1747.00,0.00,3937.00
28/06/1997,2324.00,1441.00,722.00,1678.00,56.00,3764.00
29/06/1997,178.00,713.00,1841.00,328.00,0.00,891.00
02/07/1997,0.00,0.00,0.00,0.00,0.00,0.00
03/07/1997,0.00,0.00,0.00,0.00,0.00,0.00
04/07/1997,0.00,0.00,0.00,0.00,0.00,0.00
05/07/1997,0.00,0.00,0.00,0.00,0.00,0.00
06/07/1997,0.00,0.00,0.00,0.00,0.00,0.00
07/07/1997,0.00,0.00,0.00,0.00,0.00,0.00
09/07/1997,227.00,2039.00,2582.00,585.00,0.00,2266.00
10/07/1997,895.00,1094.00,168.00,150.00,0.00,1990.00
16/07/1997,0.00,0.00,0.00,0.00,0.00,0.00
17/07/1997,0.00,0.00,0.00,0.00,0.00,0.00
18/07/1997,0.00,0.00,0.00,0.00,0.00,0.00
19/07/1997,0.00,0.00,0.00,0.00,0.00,0.00
20/07/1997,0.00,0.00,0.00,0.00,0.00,0.00
21/07/1997,886.00,1128.00,878.00,778.00,64.00,2014.00
22/07/1997,1184.00,2789.00,1600.00,1895.00,56.00,3973.00
29/07/1997,923.00,1128.00,427.00,394.00,0.00,2051.00
30/07/1997,1805.00,1978.00,862.00,1556.00,64.00,3782.00
31/07/1997,984.00,773.00,1103.00,1086.00,56.00,1758.00
02/08/1997,0.00,0.00,0.00,0.00,0.00,0.00
03/08/1997,0.00,0.00,0.00,0.00,0.00,0.00
04/08/1997,0.00,0.00,0.00,0.00,0.00,0.00
05/08/1997,1469.00,323.00,805.00,1182.00,0.00,1791.00
06/08/1997,1571.00,4373.00,1522.00,2392.00,64.00,5944.00
07/08/1997,1136.00,1934.00,1419.00,1612.00,0.00,3070.00
09/08/1997,576.00,3646.00,2720.00,1567.00,64.00,4222.00
13/08/1997,0.00,0.00,0.00,0.00,0.00,0.00
14/08/1997,0.00,0.00,0.00,0.00,0.00,0.00
15/08/1997,1423.00,356.00,785.00,1117.00,64.00,1778.00
16/08/1997,0.00,0.00,0.00,0.00,0.00,0.00
17/08/1997,0.00,0.00,0.00,0.00,0.00,0.00
18/08/1997,0.00,0.00,0.00,0.00,0.00,0.00
19/08/1997,222.00,2001.00,3206.00,713.00,0.00,2224.00
03/09/1997,231.00,821.00,1517.00,351.00,0.00,1052.00
04/09/1997,397.00,1691.00,888.00,352.00,0.00,2087.00
06/09/1997,978.00,1149.00,805.00,788.00,0.00,2127.00
07/09/1997,1485.00,419.00,774.00,1150.00,0.00,1904.00
09/09/1997,1045.00,855.00,1074.00,1123.00,56.00,1900.00
10/09/1997,226.00,2283.00,1639.00,370.00,0.00,2508.00
25/09/1997,2433.00,1314.00,952.00,2316.00,56.00,3748.00
26/09/1997,231.00,821.00,1517.00,351.00,0.00,1052.00
27/09/1997,0.00,0.00,0.00,0.00,0.00,0.00
28/09/1997,0.00,0.00,0.00,0.00,0.00,0.00
29/09/1997,0.00,0.00,0.00,0.00,0.00,0.00
30/09/1997,1601.00,5121.00,943.00,1510.00,0.00,6722.00
01/10/1997,0.00,0.00,0.00,0.00,0.00,0.00
02/10/1997,0.00,0.00,0.00,0.00,0.00,0.00
03/10/1997,0.00,0.00,0.00,0.00,0.00,0.00
04/10/1997,0.00,0.00,0.00,0.00,0.00,0.00
